index,L1 norm,Group
0,8.802999999999997,Household pairs
1,8.443999999999996,Household pairs
2,8.213999999999999,Household pairs
3,11.104,Household pairs
4,3.304,Household pairs
5,4.6209999999999996,Household pairs
6,5.049,Household pairs
7,4.196,Household pairs
8,5.513,Household pairs
9,5.941000000000001,Household pairs
10,3.798,Household pairs
11,5.114999999999999,Household pairs
12,5.543,Household pairs
13,5.288999999999999,Household pairs
14,5.523000000000001,Household pairs
15,5.08,Household pairs
0,6.656000000000001,Random pairs
1,6.319000000000001,Random pairs
2,6.079000000000001,Random pairs
3,6.977,Random pairs
4,6.32,Random pairs
5,5.961,Random pairs
6,5.721,Random pairs
7,6.619,Random pairs
8,7.064000000000001,Random pairs
9,6.705,Random pairs
10,6.465000000000001,Random pairs
11,7.3629999999999995,Random pairs
12,3.459,Random pairs
13,4.776,Random pairs
14,5.204000000000001,Random pairs
15,2.851,Random pairs
16,4.167999999999999,Random pairs
17,4.596,Random pairs
18,3.6569999999999996,Random pairs
19,4.973999999999999,Random pairs
20,5.402,Random pairs
21,2.3350000000000004,Random pairs
22,3.169,Random pairs
23,2.627,Random pairs
24,1.8610000000000002,Random pairs
25,2.613,Random pairs
26,2.2150000000000003,Random pairs
27,2.637,Random pairs
28,3.3669999999999995,Random pairs
29,2.876999999999999,Random pairs
30,3.441,Random pairs
31,5.2,Random pairs
32,5.145000000000001,Random pairs
33,2.9730000000000003,Random pairs
34,4.767999999999999,Random pairs
35,4.760999999999999,Random pairs
36,3.5749999999999993,Random pairs
37,5.34,Random pairs
38,5.333000000000001,Random pairs
39,8.082999999999997,Random pairs
40,7.748999999999997,Random pairs
41,8.320999999999994,Random pairs
42,6.688999999999999,Random pairs
43,7.153,Random pairs
44,6.71,Random pairs
45,6.176999999999999,Random pairs
46,6.501,Random pairs
47,6.058,Random pairs
48,6.780999999999999,Random pairs
49,7.260999999999999,Random pairs
50,6.818,Random pairs
51,3.8659999999999997,Random pairs
52,3.354,Random pairs
53,3.9100000000000006,Random pairs
54,7.694999999999999,Random pairs
55,7.08,Random pairs
56,7.508000000000001,Random pairs
57,7.322,Random pairs
58,6.721,Random pairs
59,7.149000000000001,Random pairs
60,7.164,Random pairs
61,6.481,Random pairs
62,6.909000000000001,Random pairs
63,7.979999999999999,Random pairs
64,9.379,Random pairs
65,9.807,Random pairs
66,6.335000000000001,Random pairs
67,7.641000000000002,Random pairs
68,7.1850000000000005,Random pairs
69,5.976,Random pairs
70,7.282,Random pairs
71,6.826,Random pairs
72,5.736000000000001,Random pairs
73,7.042000000000002,Random pairs
74,6.586,Random pairs
75,6.6339999999999995,Random pairs
76,7.94,Random pairs
77,7.483999999999999,Random pairs
78,8.025,Random pairs
79,7.783999999999999,Random pairs
80,7.729000000000001,Random pairs
81,7.6659999999999995,Random pairs
82,5.424999999999997,Random pairs
83,5.370000000000001,Random pairs
84,7.426,Random pairs
85,5.184999999999999,Random pairs
86,5.130000000000001,Random pairs
87,8.324,Random pairs
88,8.083,Random pairs
89,8.028,Random pairs
90,8.802999999999997,Random pairs
91,8.443999999999996,Random pairs
92,8.213999999999999,Random pairs
93,11.104,Random pairs
94,9.503,Random pairs
95,9.687000000000001,Random pairs
96,11.244,Random pairs
97,7.413999999999998,Random pairs
98,7.327999999999999,Random pairs
99,8.886999999999999,Random pairs
100,7.1739999999999995,Random pairs
101,7.088000000000001,Random pairs
102,8.646999999999998,Random pairs
103,10.072,Random pairs
104,9.986,Random pairs
105,9.544999999999998,Random pairs
106,8.68,Random pairs
107,8.321,Random pairs
108,8.081,Random pairs
109,8.979,Random pairs
110,3.304,Random pairs
111,4.196,Random pairs
112,3.798,Random pairs
113,4.6209999999999996,Random pairs
114,5.513,Random pairs
115,5.114999999999999,Random pairs
116,5.049,Random pairs
117,5.941000000000001,Random pairs
118,5.543,Random pairs
119,4.555999999999999,Random pairs
120,6.350999999999999,Random pairs
121,6.343999999999999,Random pairs
122,5.872999999999999,Random pairs
123,5.667999999999999,Random pairs
124,5.661,Random pairs
125,6.301,Random pairs
126,6.096,Random pairs
127,6.089,Random pairs
128,9.331999999999997,Random pairs
129,8.648999999999997,Random pairs
130,9.076999999999998,Random pairs
131,8.033999999999999,Random pairs
132,8.218,Random pairs
133,7.775,Random pairs
134,7.350999999999999,Random pairs
135,7.535,Random pairs
136,9.091999999999999,Random pairs
137,7.779,Random pairs
138,7.963000000000001,Random pairs
139,9.52,Random pairs
140,5.210999999999999,Random pairs
141,6.527999999999999,Random pairs
142,6.9559999999999995,Random pairs
143,3.566,Random pairs
144,5.324999999999999,Random pairs
145,5.27,Random pairs
146,4.290000000000001,Random pairs
147,6.061000000000001,Random pairs
148,6.054000000000002,Random pairs
149,3.806,Random pairs
150,5.5649999999999995,Random pairs
151,5.5120000000000005,Random pairs
152,7.501999999999998,Random pairs
153,9.041999999999998,Random pairs
154,8.471999999999998,Random pairs
155,7.043999999999999,Random pairs
156,7.228,Random pairs
157,6.785,Random pairs
158,7.767999999999999,Random pairs
159,8.12,Random pairs
160,7.677,Random pairs
161,7.283999999999999,Random pairs
162,7.7219999999999995,Random pairs
163,7.279,Random pairs
164,4.221,Random pairs
165,4.944999999999999,Random pairs
166,4.461,Random pairs
167,7.607999999999997,Random pairs
168,7.362999999999998,Random pairs
169,7.307999999999998,Random pairs
170,7.999999999999999,Random pairs
171,8.48,Random pairs
172,8.036999999999999,Random pairs
173,6.064999999999998,Random pairs
174,6.274999999999999,Random pairs
175,7.834000000000001,Random pairs
176,6.058,Random pairs
177,6.268000000000001,Random pairs
178,7.827,Random pairs
179,4.082999999999998,Random pairs
180,5.877999999999998,Random pairs
181,5.8709999999999996,Random pairs
182,10.775999999999996,Random pairs
183,11.255999999999997,Random pairs
184,12.812999999999999,Random pairs
185,8.858999999999998,Random pairs
186,5.288999999999999,Random pairs
187,5.523000000000001,Random pairs
188,5.08,Random pairs
0,1.5000000000000004,Individual pairs
1,1.946,Individual pairs
2,1.658,Individual pairs
3,2.873000000000003,Individual pairs
4,2.7170000000000023,Individual pairs
5,3.541000000000001,Individual pairs
6,0.3020000000000014,Individual pairs
7,2.840000000000002,Individual pairs
8,2.9380000000000024,Individual pairs
9,1.6029999999999993,Individual pairs
10,2.0630000000000006,Individual pairs
11,1.362,Individual pairs
12,2.9899999999999993,Individual pairs
13,2.528,Individual pairs
14,0.57,Individual pairs
15,2.505000000000001,Individual pairs
16,2.6060000000000008,Individual pairs
17,0.2930000000000006,Individual pairs
18,1.4579999999999989,Individual pairs
19,2.450999999999999,Individual pairs
20,1.621,Individual pairs
